epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.5705507272006809,0.7676205220062664,16.310836232330487,294.2585955014436,294.2585955014436,0.5619581554812947,0.7673968312384069,16.17431717138181,301.597890428565,301.597890428565,285.42357395215964,277.9477595586362
1,0.7034623022010361,0.8417584033634352,17.879781990604123,203.31064822874208,203.31064822874208,0.5892508695865499,0.7828280646225502,16.50647617427782,281.84743645328217,281.84743645328217,265.3409597813398,185.4308665134596
2,0.7370254640993865,0.8598664947178053,18.194897671022275,181.34199021933736,181.34199021933736,0.6093101789211405,0.7936095151407966,17.74619677313443,270.80322241070627,270.80322241070627,253.0570256726495,163.1470928247424
3,0.7543865747037142,0.8692260968857918,18.487921741872594,169.90180445574333,169.90180445574333,0.6177515854780702,0.7987262539479925,17.290541637902972,264.3541198379692,264.3541198379692,247.06357832283808,151.41388256570568
4,0.7663147374512492,0.8756792974472046,18.71943554200988,162.29344087020212,162.29344087020212,0.627517494113966,0.8042522742830474,18.241467666625976,260.87233423693425,260.87233423693425,242.6308663905352,143.57400505618773
5,0.7747776331763336,0.8802164851409802,18.883359792958135,156.90756594008295,156.90756594008295,0.626967023569962,0.8040674890594921,18.126146373529544,261.3791916770497,261.3791916770497,243.25304467212194,138.0242064191293
6,0.7811203134578207,0.8836195659982985,19.099151708630547,152.9002868829257,152.9002868829257,0.6330763957966333,0.8071090759902165,18.7789117878881,259.2509175969266,259.2509175969266,240.47200443662447,133.80113499295885
7,0.7864594493741575,0.8864804242313772,19.283294819265173,149.52285579957825,149.52285579957825,0.6349023127007758,0.8085167240822452,19.0012297487807,257.88052483920393,257.88052483920393,238.87929448971803,130.23956098915875
8,0.7906067671637604,0.8887211651387422,19.467810454437696,146.9915761090707,146.9915761090707,0.6365404377038452,0.8086334602586154,19.555534823187465,259.63857344704115,259.63857344704115,240.08303752329158,127.52376574087835
9,0.7943244599950486,0.8906827187192613,19.52795231363048,144.62441954239554,144.62441954239554,0.6347766339093789,0.8078703717253674,19.473405403926456,260.92846907692393,260.92846907692393,241.45506454993938,125.0964675859092
10,0.7971597130402275,0.8922349539355955,19.68886013749717,142.860436379253,142.860436379253,0.6396084818346747,0.8106509425174231,19.79649753789792,259.347304385832,259.347304385832,239.55080717240256,123.17157662654269
11,0.7999289683673693,0.8937020425865616,19.80172117150348,141.148860332102,141.148860332102,0.6380725486525174,0.809608676926843,18.65659191087745,258.4909277554216,258.4909277554216,239.8343353622261,121.34713928222656
12,0.8023234700465548,0.8949704601453699,19.85761403291122,139.65472019803696,139.65472019803696,0.6380463205534836,0.8093957521449561,19.6318265235287,259.6378788038232,259.6378788038232,240.0060526179171,119.79710637189339
13,0.8042196182928224,0.8959823373089666,19.990595060707868,138.5549103933141,138.5549103933141,0.6405100563476825,0.81057291674888,20.204232976628447,259.5691413265535,259.5691413265535,239.36490973110855,118.56431520766107
